ner_id,link,title,doi
769,https://dl.acm.org/doi/10.14778/2367502.2367563,MapReduce algorithms for big data analysis,10.14778/2367502.2367563
771,https://dl.acm.org/doi/10.1145/3063955.3063968,The design of course architecture for big data,10.1145/3063955.3063968
776,https://dl.acm.org/doi/10.1145/3437075.3437083,Data Privacy of Enterprises in the Era of Big data: Evidence from China,10.1145/3437075.3437083
781,https://dl.acm.org/doi/10.1145/3560107.3560310,ADACOP: A Big Data Platform for Open Government Data,10.1145/3560107.3560310
786,https://dl.acm.org/doi/10.1145/2691195.2691196,Towards big data analytics framework: ICT professionals salary profile compilation perspective,10.1145/2691195.2691196
788,https://dl.acm.org/doi/10.1145/2513190.2513198,Can we analyze big data inside a DBMS?,10.1145/2513190.2513198
790,https://dl.acm.org/doi/10.1145/3322134.3322149,Big Data and Higher Vocational and Technical Education: Green Tourism Curriculum,10.1145/3322134.3322149
794,https://dl.acm.org/doi/10.1145/3305160.3305211,A Managerial Framework for Intelligent Big Data Analytics,10.1145/3305160.3305211
796,https://dl.acm.org/doi/10.1145/3322134.3323932,New Approach of Big Data and Education: Any Term Must Be in the Characters Chessboard as a Super Matrix,10.1145/3322134.3323932
799,https://dl.acm.org/doi/10.1145/3419634,"A Survey on IoT Big Data: Current Status, 13 V’s Challenges, and Future Directions",10.1145/3419634
803,https://dl.acm.org/doi/10.1145/2928294.2928302,Semantic question answering on big data,10.1145/2928294.2928302
809,https://dl.acm.org/doi/10.1145/3090354.3090388,Secure confidential big data sharing in cloud computing using KP-ABE,10.1145/3090354.3090388
813,https://dl.acm.org/doi/10.1145/2361999.2362038,Unified analytics platform for big data,10.1145/2361999.2362038
815,https://dl.acm.org/doi/10.1145/3010089.3010100,"Opportunities, Threats and Future Directions in Big Data for Medical Wearables",10.1145/3010089.3010100
818,https://dl.acm.org/doi/10.1145/3220199.3220200,Application research of big data experimental teaching platform based on OpenStack,10.1145/3220199.3220200
821,https://dl.acm.org/doi/10.1145/2351316.2351322,Incrementally optimized decision tree for noisy big data,10.1145/2351316.2351322
824,https://dl.acm.org/doi/10.1145/3474944.3474952,Privacy Security Status and Countermeasures in the Era of Big Data,10.1145/3474944.3474952
826,https://dl.acm.org/doi/10.1145/3175684.3175688,Big Data Educational Portal for Small and Medium Sized Enterprises (SMEs),10.1145/3175684.3175688
829,https://dl.acm.org/doi/10.14778/2733004.2733015,Big data small footprint: the design of a low-power classifier for detecting transportation modes,10.14778/2733004.2733015
835,https://dl.acm.org/doi/10.1145/2896825.2896834; https://ieeexplore.ieee.org/document/7811387/,A reference architecture for big data systems in the national security domain,10.1145/2896825.2896834
840,https://dl.acm.org/doi/10.1145/2481244.2481247,Scaling big data mining infrastructure: the twitter experience,10.1145/2481244.2481247
843,https://dl.acm.org/doi/10.1145/3291801.3291820,Research on Security and Privacy of Big Data under Cloud Computing Environment,10.1145/3291801.3291820
847,https://dl.acm.org/doi/10.1145/3010089.3010144,Mixture Model Approaches to Big Data Clustering and Classification,10.1145/3010089.3010144
848,https://dl.acm.org/doi/10.1145/3148055.3148068,Characterization of Big Data Stream Processing Pipeline: A Case Study using Flink and Kafka,10.1145/3148055.3148068
852,https://dl.acm.org/doi/10.14778/2824032.2824141,Big plateaus of big data on the big island,10.14778/2824032.2824141
854,https://dl.acm.org/doi/10.1145/2612733.2612780,Using big data for digital government research,10.1145/2612733.2612780
855,https://dl.acm.org/doi/10.1145/3006299.3006306,Empirical analysis of asymptotic ensemble learning for big data,10.1145/3006299.3006306
859,https://dl.acm.org/doi/10.1145/3389250,Big Data Analysis of Internet of Things System,10.1145/3389250
860,https://dl.acm.org/doi/10.1145/2640087.2644159,Creating a Chemistry of Sciences with Big Data: Building the Data Science Institute at Imperial College London,10.1145/2640087.2644159
863,https://dl.acm.org/doi/10.14778/2367502.2367572,Challenges and opportunities with big data,10.14778/2367502.2367572
864,https://dl.acm.org/doi/10.1145/3456887.3457461,English Education Innovation Model Based on Big Data,10.1145/3456887.3457461
867,https://dl.acm.org/doi/10.1145/2609876.2609878,Cognitive and Organizational Challenges of Big Data in Cyber Defense,10.1145/2609876.2609878
